segment_name,md5,program,from_date
new,d379b76751b7fe08201d5a0b7c968235,oferting,2017-09-07 00:00:00.000000
aop,9119b73d876f9da193ad03b62d5d6a0c,oferting,2017-09-07 00:00:00.000000
preactivated,ff00b4a6acd8ce65975d858b8d20cc7e,oferting,2017-09-07 00:00:00.000000
frequent openers,89b4e5289a20ff2c8d44ee7c6b520146,oferting,2017-09-07 00:00:00.000000
frequent openers,509641dbb63093f43a4531acdbffbbc9,oferting,2017-09-07 00:00:00.000000
preactivated,57f50194681e4f262e473650708972b2,oferting,2017-09-07 00:00:00.000000
frequent openers,9f03eee3cc2dfa08edca7dfcb11e920e,oferting,2017-09-07 00:00:00.000000
new,cca9dec3d2d5b7b92ae6d29840e43d96,oferting,2017-09-07 00:00:00.000000
aop,038f9e50ce89a8921c16f5f91ca336d1,oferting,2017-09-07 00:00:00.000000
awaken,050e2b0903eec3399282fde2aa7c2b0b,oferting,2017-09-07 00:00:00.000000
stranger,25fcc04d63de833cbca444bc5c23d8df,oferting,2017-09-07 00:00:00.000000
frequent openers,7f9c50bafb591187497e64d375f610b0,oferting,2017-09-07 00:00:00.000000
preactivated,8da9e87a7b779345171df2530ccfc33f,oferting,2017-09-07 00:00:00.000000
frequent openers,e5a42bb7312ee6039389895edfa65503,oferting,2017-09-07 00:00:00.000000
frequent openers,581ee7de7cfab317c950ac5f35be5422,oferting,2017-09-07 00:00:00.000000
total inactive,f35f193ee4d069e9817e0eb6d19f4977,oferting,2017-09-07 00:00:00.000000
new,42ae4d5d720028b629815348752c0613,oferting,2017-09-07 00:00:00.000000
stranger,9e88e60f00d3164209de2266df9ce662,oferting,2017-09-07 00:00:00.000000
frequent openers,de3f8db09e879927bf1864845aa38a5d,oferting,2017-09-07 00:00:00.000000
preactivated,b02fe6e78b921a22b126541939e2405c,oferting,2017-09-07 00:00:00.000000
halfslept,45c66a690364645307221b56d208d72b,oferting,2017-09-07 00:00:00.000000
frequent openers,33daa7caceda50ae44bf97a8ca9290d4,oferting,2017-09-07 00:00:00.000000
new,4c5dc46349c8e1709ee118851ee88e7a,oferting,2017-09-07 00:00:00.000000
clickers,5de95037a4a85ba25c195476ff20ab2a,oferting,2017-09-07 00:00:00.000000
new,40fb717fe6374c3a19ed6c23a361074e,oferting,2017-09-07 00:00:00.000000
frequent openers,26a96902fac68b99c45ce9dd30e48c5b,oferting,2017-09-07 00:00:00.000000
